species,individual,PARi,Photo,Cond,Ci,Trmmol
den_den,4,400,2.225555709,0.021918946,226.799667,0.278993423
den_den,4,500,2.345195328,0.022121269,219.710602,0.280779554
den_den,4,600,2.368777572,0.022082505,217.6927543,0.279715141
den_den,4,700,2.217067919,0.022128723,229.1841589,0.279846656
den_den,5,0,-0.156816676,0.018814048,404.7987123,0.255659544
den_den,5,5,0.253794846,0.018300238,369.1750198,0.248143736
den_den,5,10,0.14607739,0.017689627,378.091219,0.237545939
den_den,5,15,0.573895142,0.017722461,339.4881948,0.237597812
den_den,5,25,1.098959213,0.018176289,294.5060888,0.24426051
den_den,5,50,1.656190287,0.017595435,240.4821827,0.237420902
den_den,5,100,1.74127719,0.017691302,233.3731157,0.241218204
den_den,5,200,1.714234523,0.017581437,234.603366,0.243545441
den_den,5,250,1.979629178,0.017496533,209.5687823,0.245036384
den_den,5,300,1.859830684,0.017330756,218.8844127,0.244421372
den_den,5,350,1.911414539,0.016928895,210.0255491,0.240916014
den_den,5,400,1.907245331,0.016680378,207.4792949,0.239381791
den_den,5,500,1.695495565,0.016808738,228.9179309,0.246699084
den_den,5,600,1.808062492,0.016953805,219.4539431,0.254784504
den_den,5,700,1.816893313,0.017095909,219.8918225,0.258972646
dip_dig,1,0,-1.16257989,0.024132451,468.2845363,0.354895076
dip_dig,1,5,-0.506881932,0.024419187,423.9672754,0.35828024
dip_dig,1,10,-0.271912204,0.024288274,408.4237448,0.357052648
dip_dig,1,15,-0.114361997,0.024285072,397.9989049,0.357010785
dip_dig,1,25,0.49324047,0.024961064,358.5042073,0.3669701
dip_dig,1,50,1.212797536,0.024639721,310.8526695,0.3619712
dip_dig,1,100,1.783383852,0.02499954,274.97423,0.369485567
dip_dig,1,200,2.095496048,0.025702058,258.3200276,0.38476336
dip_dig,1,250,2.160249565,0.025499101,253.3957051,0.382681089
dip_dig,1,300,2.331448183,0.025010457,239.7240745,0.376604527
dip_dig,1,350,2.328214356,0.025626438,243.3336457,0.389021767
dip_dig,1,400,2.44118267,0.025855249,237.7337868,0.393639469
dip_dig,1,500,2.463935435,0.026054816,237.3541157,0.398924638
dip_dig,1,600,2.40292255,0.027152911,246.974035,0.417629364
dip_dig,1,700,2.557785475,0.027410749,239.0557357,0.41836343
dip_dig,2,0,-0.412403288,0.021746208,419.3578517,0.342048889
dip_dig,2,5,0.178638952,0.020781411,375.1827889,0.324575678
dip_dig,2,10,0.304506499,0.021435819,366.1593231,0.332953595
dip_dig,2,15,0.608362281,0.020575414,341.5939004,0.316881178
dip_dig,2,25,0.879423999,0.020782117,320.9909385,0.323039653
dip_dig,2,50,1.483413457,0.020796296,274.3395388,0.324994305
